HEADER,TEXT,COUNT,
y,Alcohol,1,
y,Benzodiazapines,1,
y,Central Nervous System (CNS) Depressants,1,
y,Clinical Comment,2,
y,Clinical Comment ,1,
y,Comments,3,
y,Comments ,8,
y,Dosing Recommendations,1,
y,Drug(s) Affecting Pharmacokinetics of CIPRO XR,3,
y,Drugs That are Affected by CIPRO,2,
y,Drugs That are Affected by CIPRO ,3,
y,Drugs That are Affected by Ciprofloxacin,18,
y,Effect on concentration of Nevirapine or Concomitant drug,2,
y,Effect on Concentration of Nevirapine or Concomitant Drug ,1,
,Ibuprofen and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of ibuprofen and anticoagulants have an increased risk of serious bleeding compared to the use of either drug alone.Serotonin release by platelets plays an important role in hemostasis. Case-control and cohort epidemiological studies showed that concomitant use of drugs that interfere with serotonin reuptake and an NSAID may potentiate the risk of bleeding more than an NSAID alone.,1,
y,Oral drugs for which sevelamer did not alter the pharmacokinetics when administered concomitantly,1,
y,Oral drugs that are to be separated from Velphoro and meals,1,
y,Oral drugs that have demonstrated interaction with sevelamer and are to be dosed separately from Renagel,1,
y,Recommendation,6,
y,Recommendation ,6,
,Refrigerated(4°C),2,
,Storage,4,
,"Table 3 Established and Potential Drug Interactions: Use With Caution, Alteration in Dose or Regimen May Be Needed Due to Drug Interaction Established Drug Interactions: See Clinical Pharmacology (12.3), Table 4 for Magnitude of Interaction. ",2,
,"Table 1	Oral drugs that can be administered concomitantly with Velphoro",1,
y,Effect**,1,
,Table II. Clinically Significant Drug Interactions With Theophylline*,2,
,Table III. Drugs That Have Been Documented Not to Interact With Theophylline or Drugs That Produce No Clinically Significant Interaction With Theophylline*,1,
y,Type Of Interaction,1,
y,Anticonvulsants ,1,
y,Drugs that alter thyroid hormone secretion,15,
y,"Drugs that may decrease T\4 \absorption, which may result in hypothyroidism",15,
y,"Drugs that may decrease thyroid hormone secretion, which may result in hypothyroidism",15,
y,"Drugs that may increase thyroid hormone secretion, which may result in hyperthyroidism",15,
y,"Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur",15,
y,Effect,16,
y,Effect**,2,
y,HIV Antiviral Agents,10,
y,Other Drugs/Dietary Supplements\ ,1,
y,Prescribing Recommendations  ,2,
y,Prescribing Recommendations  ,1,
y,Type Of Interaction,2,
y,% Change of Co-administered Drug Pharmacokinetic Parameters (90% CI),9,
,% Change of CoadministeredDrug Pharmacokinetic Parameters\The 90% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.\All studies conducted in healthy volunteers at least 60 kg with creatinine clearance of at least 60 mL/min.,2,
,% Change of Coadministered DrugPharmacokinetic Parameters\The 95% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.,2,
,% Change of Didanosine Pharmacokeinetic Parameters\The 95% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.,2,
,% Change of Didanosine Pharmacokinetic Parameters\The 90% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.,2,
,12 to 18 years(n=6),1,
,2 to <6\years(n=12),1,
,6 to <12\years(n=8),1,
y,Antiretrovirals,4,
,Atazanavir 300 mg/100 mg?28 (?40 to ?14),1,
,Atazanavir 300 mg/100 mg?42 (?52 to ?29),1,
,Atazanavir 300 mg/100 mg?72 (?80 to ?60),1,
,Atazanavir 300 mg/100 mg?28 (?40 to ?14),1,
,Atazanavir 300 mg/100 mg?42 (?52 to ?29),1,
,Atazanavir 300 mg/100 mg?72 (?80 to ?60),1,
y,AUC,3,
y,AUC ofCoadministeredDrug(90% CI),1,
y,AUC ofCoadministeredDrug (95% CI),1,
y,AUC ofDidanosine(90% CI) ,1,
y,AUC ofDidanosine(95% CI),1,
y,Cmax,3,
y,Cmax ofCoadministeredDrug(90% CI),1,
y,Cmax ofCoadministeredDrug (95% CI),1,
y,Cmax ofDidanosine(90% CI),1,
y,Cmax ofDidanosine(95% CI),1,
y,Cmin,3,
y,DidanosineDosage,2,
y,Didanosine Dosage,1,
y,Didanosine Dosage ,1,
y,Dose of Co-administered Drug,3,
y,Dose Regimen of Immediate-Release Nevirapine,2,
y,Dose Regimen of Nevirapine,1,
y,Females(n=14),1,
y,Males(n=106),1,
y,n,6,
y,n ,1,
y,Ratio (90% Confidence\Interval) of Co-administered DrugPharmacokinetic Parameters\with/withouttipranavir/ritonavir; No Effect\= 1.00,3,
y,Ratio (90% Confidence Interval) of Tipranavir Pharmacokinetic\Parameters with/withoutCo-administered Drug; No Effect = 1.00,3,
y,AEDConcentration ,1,
y,TopiramateConcentration ,1,
,200 mg BID day 1 to 23. Subjects were treated with nevirapine prior to trial entry.,2,
,23,2,
,"300 mg/100 mg QD day 4 to 13, then 400 mg/100 mg QD, day 14 to 23",2,
y,AUC(0-24h)(ng _ h/mL),2,
y,AUC(0-24h)(ng _ h/mL),6,
y,AUC(0-24h)(ng _ h/mL),4,
y,Cmax(ng/mL),2,
y,Cmax(ng/mL),6,
y,Cmax(ng/mL),4,
y,Conjugated Estrogens,18,
y,Conjugated Estrogens plus Progesterone Capsules,6,
y,Conjugated Estrogens plus PROMETRIUM Capsules,12,
y,Tmax(hr),2,
y,Tmax(hr),6,
y,Tmax(hr),4,
y,Prescribing Recommendations,1,
,-,6,
,3-Hydroxydesloratadine,2,
y,Adjusted Dose,1,
y,AED Concentration,1,
y,AED \Concentration,5,
y,AED Concentration,1,
,Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate,2,
,Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate,12,
,Antacids - Aluminum & Magnesium Hydroxides - Simethicone Bile Acid Sequestrants - Cholestyramine - Colestipol Calcium Carbonate Cation Exchange Resins - Kayexalate Ferrous Sulfate Orlistat Sucralfate,16,
,Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate,28,
,Anti-Inflammatory Drugs\azapropazoncolchicinediclofenacnaproxensulindac,1,
,Antineoplastic\melphalan   \Antifungals\amphotericin Bketoconazole,1,
y,AUCss(0–12h)\(Extent of systemic exposure),3,
y,AUCSS(0–12h)(Extent of systemic exposure),3,
y,AUC ,1,
,Avoid grapefruit juice ,1,
y,Clinical\Comment,1,
y,Clinical Comment,7,
y,Clinical Comment ,1,
y,CLINICAL EFFECT(S),1,
y,CLINICAL EFFECT(S)         ,2,
y,Cmax\SS\(Peak\plasma concentration),2,
y,Cmax SS\(Peak plasma concentration),1,
y,CmaxSS(Peak \plasma concentration),1,
y,CmaxSS(Peak plasma concentration),2,
y,Cmax ,1,
y,Co-administered Drug ,1,
,"Concurrent use may reduce the efficacy of levothyroxine by binding and delaying or preventing absorption, potentially resulting in hypothyroidism. Calcium carbonate may form an insoluble chelate with levothyroxine, and ferrous sulfate likely forms a ferric-thyroxine complex. Administer levothyroxine at least 4 hours apart from these agents. Patients treated concomitantly with orlistat and levothyroxine should be monitored for changes in thyroid function.",15,
,Contraindicated with simvastatin,1,checked
,Desloratadine,2,
y,Dosage Adjustment of Aripiprazole,1,
y,Dose of Coadministered drug (mg) ,10,
y,Dose of CRIXIVAN (mg),10,
y,Dosing Schedule ,2,
,Do not exceed 10 mg simvastatin daily ,1,
,Do not exceed 20 mg simvastatin daily ,1,
y,Drug,2,
,"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",1,
,"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.2, 4, 5.2, 7.1, 7.2, 7.3, 7.4, 12.3)",1,
,"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",10,
y,Drug or Drug Class,96,
y,Drugs that alter thyroid hormone secretion,140,
y,Drugs that may alter T\4\and T\3\metabolism,51,
y,"Drugs that may alter T\4\and T\3\serum transport - but FT\4\concentration remains normal; and, therefore, the patient remains euthyroid",51,
y,Drugs that may alter T\4 \and T\3 \metabolism,42,
y,"Drugs that may alter T\4 \and T\3 \serum transport - but FT\4 \concentration remains normal; and, therefore, the patient remains euthyroid",42,
y,Drugs that may alter T4 and T3 metabolism,2,
y,"Drugs that may alter T4 and T3 serum transport- but FT4 concentration remains normal; and, therefore, the patient remains euthyroid",2,
y,Drugs that may cause protein-binding site displacement,146,
y,Drugs that may decrease,17,
y,Drugs that may decrease serum TBG concentration,5,
y,Drugs that may decrease serum TBG concentration,9,
y,Drugs that may decrease serum TBG concentration,1,
y,Drugs that may decrease T\4\5' - deiodinase activity,75,
y,"Drugs that may decrease T\4\absorption, which may result in hypothyroidism",75,
y,Drugs that may decrease T\4 \5' - deiodinase activity,69,
y,"Drugs that may decrease T\4 \absorption, which may result in hypothyroidism",69,
y,Drugs that may decrease T4 5'-deiodinase activity,2,
y,"Drugs that may decrease T4 absorption, which may result in hypothyroidism",2,
y,"Drugs that may decrease thyroid hormone secretion, which mayresult in hypothyroidism",34,
y,"Drugs that may decrease thyroid hormone secretion, which may\result in hypothyroidism",24,
y,"Drugs that may decrease thyroid hormone secretion, which may \result in hypothyroidism",69,
y,"Drugs that may decrease thyroid hormone secretion, which may result in hypothyroidism",2,
y,Drugs that may increase,34,
y,Drugs that may increase\serum TBG concentration,16,
y,Drugs that may increase serum TBG concentration,2,
y,Drugs that may increase serum TBG concentration,12,
y,"Drugs that may increase hepatic metabolism, whichmay resultin hypothyroidism",2,
y,"Drugs that may increase hepatic metabolism, which may result in hypothyroidism",93,
y,Drugs that may increase serum TBG concentration,32,checked
y,Drugs that may increase serum TBG concentration,1,checked
y,"Drugs that may increase thyroid hormone secretion, whichmay result in hyperthyroidism",34,checked
y,"Drugs that may increase thyroid hormone secretion, which\may result in hyperthyroidism",24,checked
y,"Drugs that may increase thyroid hormone secretion, which \may result in hyperthyroidism",69,checked
y,"Drugs that may increase thyroid hormone secretion, which may result in hyperthyroidism",2,checked
y,"Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur",144,checked
y,"Drugs that may reduce TSH secretion –the reduction is not sustained; therefore, hypothyroidism does not occur",2,checked
y,"Drugs that may reduce TSH secretion–the reduction is not sustained; therefore, hypothyroidism does not occur",3,checked
y,Effect**,2,
y,Effect,60,
,Effect\Average effect on steady-state theophylline\concentration or other clinical effect for\pharmacologic interactions. Individual patients\may experience larger changes in serum\theophylline concentration than the value\listed.,1,
y,Effect on Active Moiety (Risperidone + 9-Hydroxy-Risperidone (RatioChange relative to reference) ,2,
y,Effect on Concentration of Atazanavir or Concomitant Drug,2,
y,Effect**,2,
,"For patients with HoFH, do not exceed 20 mg simvastatin daily*",1,
,"Gastrointestinal Agents\cimetidineranitidine  \Immunosuppressives\tacrolimus \Other Drugs\fibric acid derivatives  (e.g., bezafibrate, fenofibrate)",1,
y,Inducers,2,
y,Inhibitors,2,
y,Interaction,1,
y,Interaction,22,
y,Interaction ,3,
y,InteractionInteraction,1,
y,Interaction ,4,
,"Iodide and drugs that contain pharmacologic amounts of iodide may cause hyperthyroidism in euthyroid patients with Grave's disease previously treated with antithyroid drugs or in euthyroid patients with thyroid autonomy (e.g., multinodular goiter or hyper functioning thyroid adenoma). Hyperthyroidism may develop over several weeks and may persist for several months after therapy discontinuation. Amiodarone may induce hyperthyroidism by causing thyroiditis.",15,
,"lomefloxacin\mebendazole\medroxyprogesterone\methylprednisolone\metronidazole\metoprolol\nadolol\nifedipine\nizatidine\norfloxacin\ofloxacin\omeprazole\prednisone, prednisolone\ranitidine\rifabutin\roxithromycin\sorbitol\(purgative doses do not inhibit\theophylline absorption)\sucralfate\terbutaline, systemic\terfenadine\tetracycline\tocainide",1,
,"lomefloxacin\mebendazole\medroxyprogesterone\methylprednisolone\metronidazole\metoprolol\nadolol\nifedipine\nizatidine\norfloxacin\ofloxacin\omeprazole\prednisone, prednisolone\ranitidine\rifabutin\roxithromycin\sorbitol\  (purgative doses do not inhibit\  theophylline absorption)\sucralfate\terbutaline, systemic\terfenadine\tetracycline\tocainide",2,
,"Long-term lithium therapy can result in goiter in up to 50% of patients, and either subclinical or overt hypothyroidism, each in up to 20% of patients. The fetus, neonate, elderly and euthyroid patients with underlying thyroid disease (e.g., Hashimoto's thyroiditis or with Grave's disease previously treated with radioiodine or surgery) are among those individuals who are particularly susceptible to iodine-induced hypothyroidism. Oral cholecystographic agents and amiodarone are slowly excreted, producing more prolonged hypothyroidism than parenterally administered iodinated contrast agents. Long-term amino-glu-tethimide therapy may minimally decrease T4 and T3 levels and increase TSH, although all values remain within normal limits in most patients.",15,
y,Miscellaneous,140,
y,n,10,checked
y,Prescribing Recommendations,53,
y,Prescribing Recommendations ,2,
y,Ratio (with/without coadministered drug) of IndinavirPharmacokinetic Parameters (90% CI); No Effect = 1.00,15,
y,Ratio (with/without CRIXIVAN) of Coadministered DrugPharmacokinetic Parameters (90% CI); No Effect = 1.00,15,
y,Risperidone Dose Recommendation ,1,
,Risperidone ,1,
y,serum TBG concentration,51,
y,Specific Drugs,2,
,Table 2: Drug — Thyroidal Axis Interactions,1,
,Table 2: Drug-Thyroidal Axis Interactions,1,
,"Table III. Clinically\significant drug interactions with\theophylline.\Refer to PRECAUTIONS, Drug Interactions for\further information regarding table.",2,
,"Table IV. Drugs that have\been documented not to interact with theophylline\or drugs that produce no clinically significant\interaction with theophylline.\Refer to PRECAUTIONS, Drug Interactions for\information regarding table.",1,
y,Topiramate Concentration ,1,
y,Topiramate Concentration,5,
y,Topiramate Concentration,1,
y,Type of\Interaction,1,
y,Type of Interaction,4,
,Use of these agents may result in a transient reduction in TSH secretion when administered at the following doses: dopamine ( ? 1 mcg/kg/min); Glucocorticoids (hydrocortisone ? 100 mg/day or equivalent); Octreotide ( > 100 mcg/day).,15,
,"The concomitant use of ADDYI with alcohol increased the risk of hypotension, syncope, and CNS depression compared to the use of ADDYI alone or alcohol alone [see Warnings and Precautions (5.1) and Clinical Pharmacology (12.2)].",1,
,* The interaction between nevirapine and the drug was evaluated in a clinical study. All other drug interactions shown are predicted.,2,
,-,12,
,Analgesics:\Methadone* ,1,
,"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx® (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)",1,
,"Antiarrhythmics:\Amiodarone, disopyramide, lidocaine ",1,
,Antibiotics:\Clarithromycin*,1,
y,Anticonvulsants,1,
,AUCSS(0–12h)(Extent of systemic \exposure),1,
,Avoid Use\(Plasma Exposure Likely to be Increased and Prolonged),2,
,Avoid Use\Five-fold increase in duloxetine exposure,2,
y,Beta-Blockers ,2,
,Careful monitoring of clozapine associated adverse reactions and appropriate adjustment of clozapine dosage during and shortly after co-administration with CIPRO XR are advised.,1,
,CIPRO XR inhibits the formation of paraxanthine after caffeine administration (or pentoxifylline containing products). Monitor for xanthine toxicity and adjust dose as necessary.,1,
,"Cipro XR may further prolong the QT interval in patients receiving drugs known to prolong the QT interval (for example, class IA or III antiarrhythmics, tricyclic antidepressants, macrolides, antipsychotics) [see Warnings and Precautions (5.10) and Use in Specific Populations (8.5)].",1,
,CIPRO XR should be taken at least two hours before or six hours after Multivalent cation-containing products administration. [See Dosage and Administration (2).],1,
y,Clinical Comment,2,
y,Clinical Comment,4,
y,Clinical Rationale and Magnitude of Drug Interaction,1,
y,Clinical Recommendation,1,
y,Cmax \SS\(Peak plasma concentration),1,
y,Comments,4,
y,Comments,8,
y,Comments ,7,
,Concomitant administration of tizanidine and CIPRO XR is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [see Contraindications (4.2)].,1,
,"Concurrent administration of CIPRO XR with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate. [See Warnings and Precautions (5.6).]",1,
,"Decrease CIPRO XR absorption, resulting in lower serum and urine levels considerably lower than desired for concurrent administration of these agents with CIPRO XR",1,
,DigoxinEnalaprilIronMetoprololWarfarin,1,
y,Dosing Recommendations,3,
,Dosing Recommendations\Take at least 2 hours before or 6 hours after sevelamerTake at least 2 hours before sevelamer,1,
y,Drug Name ,1,
y,"Drug(s) Affecting Pharmacokinetics of Ciprofloxacin Tablets, USP",16,
y,Drugs That are Affected by CIPRO IV,2,
y,Drugs That are Affected by Ciprofloxacin,10,
y,Drugs That are Affected by Ciprofloxacin ,8,
y,"Drugs That are Affected by Ciprofloxacin Tablets, USP",16,
y,Drugs That Are Affected By KETEK,2,
y,Drugs That Interfere with Hemostasis,1,
y,Drugs That May Increase the Risk of Hypoglycemia,2,
y,Effect,2,
y,Effect on Concentration of \Nevirapine\or Concomitant Drug,1,
y,Effect on Concentration of Lamotrigine or Concomitant Drug,1,
y,Effect on Concentration of Nevirapine or Concomitant Drug,2,
y,Effect on Concentration of Nevirapine or Concomitant Drug,1,
y,Effect on Concentration of Ritonavir or Concomitant Drug,1,
y,Hepatitis C Antiviral Agents,3,
y,Hepatitis C Antiviral Agents  ,1,
y,HIV Antiviral Agents: Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),5,
y,HIV Antiviral Agents: Protease Inhibitors (PIs),5,
,"Hypoglycemia sometimes severe has been reported when CIPRO XR and oral antidiabetic agents, mainly sulfonylureas (for example, glyburide, glimepiride), were co-administered, presumably by intensifying the action of the oral antidiabetic agent. Fatalities have been reported. Monitor blood glucose when CIPRO XR is co-administered with oral antidiabetic drugs. [See Adverse Reactions (6.1).]",1,
,I.Due to the competition of salicylate with other drugs for binding to serum albumin the following drug interactions may occur:,15,
,"If unavoidable monitor, for duloxetine toxicity ",1,
,Monitor for sildenafil toxicity [see Pharmacokinetics (12.3\)].,1,
,Monitor renal function (in particular serum creatinine) when CIPRO XR is co-administered with cyclosporine.,1,
,Monitoring for ropinirole-related adverse reactions and appropriate dose adjustment of ropinirole is recommended during and shortly after co-administration with CIPRO XR [see Warnings and Precautions (5.15)].,1,
,Non-steroidal anti-inflammatory drugs (but not acetyl salicylic acid) in combination of very high doses of quinolones have been shown to provoke convulsions in pre-clinical studies and in postmarketing. ,1,
y,OATP1B1 and BCRP Substrate,1,checked
y,OATP1B1 Inhibitors,1,checked
y,Oral drugs for which sevelamer did not alter the pharmacokinetics when administered concomitantly,2,
y,Oral drugs thathave demonstrated interaction with sevelamer and are to be dosed separately from Renvela,1,
y,Oral drugs that have demonstrated interaction with sevelamer and are to be dosed separately from Renvela,1,
y,Oral drugs that have to be separated from Auryxia and meals,1,
y,Oral drugs that have to be separated from Phoslyra,1,
y,Other Agents,3,
y,Other Drugs /\ \Dietary Supplements,2,
,"Potential increase in the risk of methotrexate associated toxic reactions. Therefore, carefully monitor patients under methotrexate therapy when concomitant CIPRO XR therapy is indicated.",1,
,Potentiation of CIPRO XR toxicity may occur.,1,
y,Prescribing \Recommendations ,1,
,Probenecid,1,
y,Recommendation,4,
y,Recommendation,8,
y,Recommendation ,6,
y,Recommendation(Exposure),1,
,Table 1: Oral drugs that can be administered concomitantly with Auryxia,1,
,Table 4 Drugs Tested in Binding or Drug Interaction Testing or With Post-Marketing Reports\In Vitro\In Vivo,1,
,Table 4 Drugs Tested in In Vitro Binding or In Vivo Drug Interaction Testing or With Post-Marketing Reports,3,
,"The concomitant use of CNS depressants can increase the risk of hypotension, respiratory depression, profound sedation, coma, and death.",1,
,"The risk may vary with the underlying infection, age and general status of the patient so that the contribution of CIPRO XR to the increase in INR (international normalized ratio) is difficult to assess. Monitor prothrombin time and INR frequently during and shortly after co-administration of CIPRO XR with an oral anti-coagulant (for example, warfarin).",1,
,"There have been a number of reports regarding coma and death associated with the misuse and abuse of the combination of buprenorphine and benzodiazepines. In many, but not all of these cases, buprenorphine was misused by self-injection of crushed buprenorphine tablets. Preclinical studies have shown that the combination of benzodiazepines and buprenorphine altered the usual ceiling effect on buprenorphine-induced respiratory depression, making the respiratory effects of buprenorphine appear similar to those of full opioid agonists.",1,
,"To avoid the loss of seizure control associated with decreased phenytoin levels and to prevent phenytoin overdose-related adverse reactions upon CIPRO XR discontinuation in patients receiving both agents, monitor phenytoin therapy, including phenytoin serum concentration during and shortly after co-administration of CIPRO XR with phenytoin.",1,
,Use with caution\(Increase in anticoagulant effect),2,
,Use with caution\(interferes with renal tubular secretion of CIPRO XR and increases CIPRO XR serum levels),1,
,Use with caution\(transient elevations in serum creatinine),2,
,Use with caution\Altered serum levels of phenytoin (increased and decreased),2,
,Use with caution\Glucose-lowering effect potentiated,2,
,Use with caution\Inhibition of methotrexate renal tubular transport potentially leading to increased methotrexate plasma levels ,2,
,Use with caution\Reduced clearance resulting in elevated levels and prolongation of serum half-life,2,
,Use with caution\Two-fold increase in exposure,2,
y,AUC ofStavudine (95% CI),1,
y,AUC of Coadministered \ Drug(95% CI),1,
y,Cmax\of Coadministered   Drug(95% CI),1,
y,Cmax\of Stavudine(95% CI),1,
,na   ,2,
y,Stavudine  Dosage,1,
,,826,
y,AEDConcentration,1,
y,TopiramateConcentration,1,
y, Dose of Azithromycin ,4,
y, Dose of Coadministered Drug ,4,
y, Dosing Schedule,2,
," Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",3,
y, Effect,5,
y, Effect on Active Moiety(Risperidone + 9- Hydroxy-Risperidone (Ratio*),2,
y, Mean AUC ,2,
y, n ,4,
y, Prescribing Recommendations ,5,
y, Ratio (with/without azithromycin) of Coadministered Drug Pharmacokinetic Parameters (90% CI); No Effect = 1.00 ,2,
y, Ratio (with/without coadministered drug) of Azithromycin Pharmacokinetic Parameters (90% CI); No Effect = 1.00 ,2,
y, Risperidone Dose Recommendation,1,
,* The interaction between nevirapine and the drug was evaluated in a clinical study. All other drug interactions shown are predicted.,3,
,-,1,
,0.51 ,2,
,0.51 ,2,
,0.51 ,1,
,0.51 ,1,
,0.55,2,
,0.55,2,
,0.55,1,
,0.55,1,
,0.94,2,
,0.94,2,
,0.94,1,
,0.94,1,
,1.1 ,4,
,1.1 ,4,
,1.1 ,2,
,1.1 ,2,
,1.2 ,2,
,1.2 ,2,
,1.2 ,1,
,1.2 ,1,
,1.3,4,
,1.3,4,
,1.3,2,
,1.3,2,
,1.3,1,
,1.4,2,
,1.4,2,
,1.4,1,
,1.4,1,
,1.4,1,
,1.4 ,2,
,1.4 ,2,
,1.4 ,1,
,1.4 ,1,
,1.5,2,
,1.5,2,
,1.5,1,
,1.5,1,
,1.5,1,
,1.6,2,
,1.6,2,
,1.6,1,
,1.6,1,
,1.8,2,
,1.8,2,
,1.8,1,
,1.8,1,
,10 mg/day,1,
,10 mg/day ,2,
,10 mg/day ,2,
,10 mg/day ,1,
,10 mg/day ,1,
,150 mg twice daily,2,
,150 mg twice daily,2,
,150 mg twice daily,1,
,150 mg twice daily,1,
,1 mg single dose,6,
,1 mg single dose,6,
,1 mg single dose,3,
,1 mg single dose,3,
,20 mg/day,1,
,20 mg/day ,4,
,20 mg/day ,4,
,20 mg/day ,2,
,20 mg/day ,2,
,2 or 3 mg twicedaily,2,
,2 or 3 mg twice daily,1,
,2 or 3 mg twicedaily,2,
,2 or 3 mg twicedaily,1,
,2 or 3 mg twicedaily,1,
,3 mg twice daily,2,
,3 mg twice daily,2,
,3 mg twice daily,1,
,3 mg twice daily,1,
,400 mg twice daily,2,
,400 mg twice daily,2,
,400 mg twice daily,1,
,400 mg twice daily,1,
,40 mg/day ,2,
,40 mg/day ,2,
,40 mg/day ,1,
,40 mg/day ,1,
,4 mg/day,6,
,4 mg/day,6,
,4 mg/day,3,
,4 mg/day,3,
,4 mg/day,1,
,5-Fluorouracil,34,
,500 mg four timesdaily,2,
,500 mg four times daily,1,
,500 mg four timesdaily,2,
,500 mg four timesdaily,1,
,573 ± 168 mg/day,2,
,573 ± 168 mg/day,2,
,573 ± 168 mg/day,1,
,573 ± 168 mg/day,1,
,? Atazanavir ? Nevirapine ,1,
,? Indinavir  ,1,
,? lamotrigine,2,
,? lamotrigine  ? carbamazepine epoxide,1,
,? lamotrigine   ? levonorgestrel,1,
,? Lopinavir  ,1,
,?Amprenavir ?Nevirapine   ?Amprenavir ?Nevirapine  ,1,
,?Efavirenz,1,
,?Nelfinavir M8 Metabolite?Nelfinavir Cmin,1,
,Addition of carbamazepine decreases lamotrigine concentration approximately 40%.May increase carbamazepine epoxide levels.,1,
,"Addition of levothyroxine to antidiabetic or insulin therapy may result in increased antidiabetic agent or insulin requirements.Careful monitoring of diabetic control is recommended, especially when thyroid therapy is started, changed, or discontinued.",2,
,"Addition of levothyroxine to antidiabetic or insulin therapy may result in increased antidiabetic agent or insulin requirements. Careful monitoring of diabetic control is recommended, especially when thyroid therapy is started, changed, or discontinued.",48,
,"Administration of these agents with levothyroxine results in an initial transient increase in FT4. Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.",1,
,"Administration of these agents with levothyroxine results in an initial transient increase in FT4. Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.",6,
